      2 ?        S      0:00 [kthreadd]
 273668 ?        D<     0:12  \_ [kworker/u17:0+i915_flip]
 275414 ?        I      0:01  \_ [kworker/3:0-events]
 277739 ?        I      0:00  \_ [kworker/2:2-events]
 278104 ?        I      0:13  \_ [kworker/7:0-events]
 278660 ?        I      0:11  \_ [kworker/6:2-i915-unordered]
 279502 ?        I      0:00  \_ [kworker/5:2-events]
 279838 ?        I      0:00  \_ [kworker/1:0-i915-unordered]
 280132 ?        I      0:04  \_ [kworker/7:2-mm_percpu_wq]
 280236 ?        I      0:00  \_ [kworker/2:1-events]
 280349 ?        I<     0:00  \_ [kworker/u17:2-rb_allocator]
 280905 ?        I      0:00  \_ [kworker/u16:46-events_unbound]
 280907 ?        I      0:00  \_ [kworker/u16:49-ext4-rsv-conversion]
 280919 ?        S      0:00  \_ [irq/191-mei_me]
 280920 ?        I      0:00  \_ [kworker/4:1-events]
 281353 ?        I      0:00  \_ [kworker/0:3-events]
 281517 ?        I      0:00  \_ [kworker/5:0-events]
 281518 ?        I      0:00  \_ [kworker/1:1-events]
 281548 ?        I      0:00  \_ [kworker/3:1-mm_percpu_wq]
 281557 ?        I      0:00  \_ [kworker/7:3-events]
 281561 ?        I      0:00  \_ [kworker/4:0-events]
 281591 ?        I      0:00  \_ [kworker/u16:0-events_power_efficient]
 281638 ?        I      0:03  \_ [kworker/6:1-i915-unordered]
 281822 ?        I      0:00  \_ [kworker/0:1-events]
 281954 ?        I      0:00  \_ [kworker/5:1-events]
 281984 ?        I      0:00  \_ [kworker/4:2-events]
 281985 ?        I      0:00  \_ [kworker/7:1-events]
 281987 ?        I      0:00  \_ [kworker/4:3-events]
 281989 ?        I      0:00  \_ [kworker/3:2-events]
 282020 ?        I      0:00  \_ [kworker/6:0-i915-unordered]
 282060 ?        I      0:00  \_ [kworker/u16:1]
 282227 ?        I      0:00  \_ [kworker/5:3-events]
 282266 ?        I      0:00  \_ [kworker/0:0-i915-unordered]
 282267 ?        I      0:00  \_ [kworker/3:3]
      1 ?        Ss     0:16 /lib/systemd/systemd --system --deserialize 23 splash
    257 ?        S<s    0:09 /lib/systemd/systemd-journald
    304 ?        Ss     0:06 /lib/systemd/systemd-udevd
    461 ?        Ss     0:51 /lib/systemd/systemd-resolved
    462 ?        Ssl    0:00 /lib/systemd/systemd-timesyncd
    518 ?        Ssl    0:03 /usr/libexec/accounts-daemon
    519 ?        Ss     0:08 /usr/sbin/acpid
    522 ?        Ss     0:02 avahi-daemon: running [julia-ZenBook.local]
    571 ?        S      0:00  \_ avahi-daemon: chroot helper
    523 ?        Ss     0:00 /usr/lib/bluetooth/bluetoothd
    526 ?        Ss     0:33 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    529 ?        Ssl    0:36 /usr/sbin/NetworkManager --no-daemon
    534 ?        Ssl    0:41 /usr/sbin/irqbalance --foreground
    537 ?        Ss     0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
    540 ?        Ssl    0:21 /usr/libexec/polkitd --no-debug
    542 ?        Ssl    0:00 /usr/libexec/power-profiles-daemon
    544 ?        Ssl    0:02 /usr/sbin/rsyslogd -n -iNONE
    551 ?        Ssl    0:19 /usr/lib/snapd/snapd
    554 ?        Ssl    0:00 /usr/libexec/switcheroo-control
    559 ?        Ss     0:08 /lib/systemd/systemd-logind
    560 ?        Ssl    0:57 /usr/sbin/thermald --systemd --dbus-enable --adaptive
    561 ?        Ssl    0:00 /usr/libexec/udisks2/udisksd
    562 ?        Ss     0:09 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
    649 ?        Ssl    0:03 /usr/sbin/ModemManager
    673 ?        Ssl    0:01 /usr/libexec/boltd
    700 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
    745 ?        Ssl    0:00 /usr/sbin/gdm3
   1423 ?        Sl     0:00  \_ gdm-session-worker [pam/gdm-password]
   1513 tty2     Ssl+   0:00      \_ /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
   1516 tty2     Sl+    0:00          \_ /usr/libexec/gnome-session-binary --session=ubuntu
    833 ?        Ssl    0:06 /usr/libexec/upowerd
    954 ?        SNsl   0:01 /usr/libexec/rtkit-daemon
   1082 ?        Ssl    0:32 /usr/libexec/packagekitd
   1299 ?        Ssl    0:00 /usr/libexec/colord
   1442 ?        Ss     0:12 /lib/systemd/systemd --user
   1443 ?        S      0:00  \_ (sd-pam)
   1449 ?        S<sl   0:00  \_ /usr/bin/pipewire
   1450 ?        Ssl    0:02  \_ /usr/bin/pipewire-media-session
   1451 ?        S<sl 136:48  \_ /usr/bin/pulseaudio --daemonize=no --log-target=journal
   1452 ?        Ss     0:01  \_ /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
   1668 ?        Sl     0:00  |   \_ /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
   1479 ?        Ss     0:51  \_ /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1480 ?        Ssl    0:01  \_ /usr/libexec/xdg-document-portal
   1490 ?        Ss     0:00  |   \_ fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1484 ?        Ssl    0:00  \_ /usr/libexec/xdg-permission-store
   1554 ?        Ssl    0:00  \_ /usr/libexec/gnome-session-ctl --monitor
   1564 ?        Ssl    0:00  \_ /usr/libexec/gvfsd
   1760 ?        Sl     0:00  |   \_ /usr/libexec/gvfsd-trash --spawner :1.15 /org/gtk/gvfs/exec_spaw/0
